road_id,from_location_id,to_location_id,distance_km,travel_time_minutes,road_condition_weight,is_bidirectional
1,24,38,0.03,1,1.41,1
2,28,68,0.04,1,1.21,1
3,32,61,0.05,1,1.16,1
4,23,25,0.05,2,1.26,1
5,8,30,0.06,1,1.19,1
6,41,44,0.07,1,1.46,1
7,33,73,0.08,1,1.08,1
8,51,74,0.09,2,1.18,1
9,23,74,0.1,1,1.51,1
10,3,80,0.1,1,1.2,1
11,12,62,0.1,1,1.27,1
12,18,19,0.11,2,1.56,1
13,52,77,0.12,1,1.26,1
14,49,63,0.13,1,1.59,1
15,59,76,0.14,2,1.31,1
16,29,48,0.14,1,1.51,1
17,14,64,0.14,2,1.41,1
18,39,57,0.15,1,1.32,1
19,21,66,0.16,1,1.17,1
20,12,69,0.17,1,1.14,1
21,27,71,0.18,1,1.23,1
22,63,68,0.19,1,1.27,1
23,14,40,0.19,1,1.36,1
24,41,67,0.19,2,1.47,1
25,25,63,0.19,2,1.11,1
26,9,70,0.2,1,1.32,1
27,18,79,0.2,3,1.31,1
28,12,49,0.21,1,1.53,1
29,30,64,0.21,2,1.09,1
30,15,65,0.22,1,1.53,1
31,46,72,0.22,1,1.17,1
32,20,56,0.22,2,1.1,1
33,31,45,0.26,1,1.29,1
34,6,27,0.27,1,1.35,1
35,11,38,0.28,2,1.13,1
36,36,52,0.3,1,1.38,1
37,8,36,0.31,1,1.2,1
38,11,37,0.31,2,1.19,1
39,47,73,0.32,1,1.13,1
40,34,77,0.32,2,1.18,1
41,14,70,0.33,1,1.09,1
42,7,46,0.34,2,1.49,1
43,3,66,0.34,2,1.0,1
44,54,78,0.36,2,1.39,1
45,2,42,0.36,3,1.4,1
46,34,51,0.37,1,1.33,1
47,33,43,0.37,1,1.37,1
48,34,60,0.4,1,1.01,1
49,57,60,0.41,2,1.48,1
50,44,53,0.42,1,1.12,1
51,4,50,0.44,2,1.56,1
52,45,55,0.48,3,1.46,1
53,65,72,0.49,3,1.07,1
54,45,80,0.49,3,1.49,1
55,42,71,0.49,1,1.44,1
56,15,20,0.5,1,1.23,1
57,31,35,0.5,3,1.2,1
58,1,67,0.5,1,1.13,1
59,53,66,0.52,1,1.46,1
60,47,75,0.53,4,1.29,1
61,54,61,0.54,1,1.44,1
62,28,50,0.54,1,1.32,1
63,17,26,0.55,4,1.08,1
64,1,26,0.62,2,1.41,1
65,18,54,0.67,2,1.1,1
66,19,76,0.68,4,1.24,1
67,13,27,0.68,3,1.15,1
68,56,58,0.75,2,1.45,1
69,6,65,0.76,2,1.0,1
70,50,55,0.84,4,1.17,1
71,24,43,0.89,5,1.11,1
72,9,79,0.95,2,1.53,1
73,35,56,1.04,4,1.52,1
74,5,10,1.07,2,1.26,1
75,5,22,1.15,6,1.38,1
76,29,75,1.15,5,1.23,1
77,48,78,1.17,3,1.58,1
78,10,59,1.21,5,1.44,1
79,16,37,2.67,8,1.4,1
80,25,74,0.11,2,1.27,1
81,62,69,0.17,1,1.41,1
82,25,51,0.18,1,1.12,1
83,23,51,0.18,1,1.5,1
84,19,79,0.2,1,1.58,1
85,51,62,0.21,1,1.1,1
86,28,63,0.22,1,1.48,1
87,23,63,0.24,1,1.3,1
88,44,67,0.26,1,1.05,1
89,12,51,0.27,1,1.44,1
90,8,64,0.27,1,1.29,1
91,12,63,0.27,1,1.45,1
92,49,68,0.29,1,1.24,1
93,62,74,0.29,1,1.21,1
94,25,49,0.29,1,1.42,1
95,63,74,0.3,3,1.42,1
96,11,24,0.3,1,1.15,1
97,49,62,0.3,1,1.06,1
98,12,25,0.3,1,1.37,1
99,25,68,0.3,1,1.4,1
100,25,62,0.31,2,1.08,1
101,12,74,0.32,1,1.06,1
102,28,49,0.32,3,1.58,1
103,51,63,0.33,1,1.05,1
104,23,68,0.33,1,1.05,1
105,25,28,0.33,1,1.46,1
106,40,64,0.33,2,1.36,1
107,62,63,0.34,1,1.49,1
108,23,62,0.34,1,1.56,1
109,23,49,0.35,2,1.4,1
110,14,30,0.35,1,1.59,1
111,12,23,0.35,1,1.26,1
112,49,69,0.35,2,1.24,1
113,64,70,0.35,1,1.05,1
114,33,47,0.35,1,1.45,1
115,23,28,0.35,2,1.24,1
116,8,52,0.36,3,1.41,1
117,30,36,0.37,2,1.22,1
118,49,51,0.37,2,1.49,1
119,49,74,0.38,2,1.2,1
120,51,69,0.39,3,1.55,1
121,34,74,0.39,2,1.23,1
122,7,72,0.39,1,1.28,1
123,40,70,0.39,1,1.47,1
124,43,73,0.39,1,1.25,1
125,3,21,0.39,2,1.42,1
126,6,71,0.4,3,1.59,1
127,66,80,0.41,1,1.34,1
128,8,14,0.41,2,1.18,1
129,30,52,0.41,2,1.44,1
130,36,77,0.41,1,1.58,1
131,68,74,0.42,1,1.19,1
132,30,70,0.43,1,1.48,1
133,63,69,0.44,2,1.24,1
134,28,74,0.44,3,1.39,1
135,34,52,0.44,1,1.41,1
136,51,77,0.45,3,1.25,1
137,12,68,0.46,3,1.46,1
138,69,74,0.46,2,1.34,1
139,25,69,0.46,1,1.47,1
140,23,34,0.47,1,1.39,1
141,8,77,0.47,3,1.53,1
142,51,68,0.47,1,1.11,1
143,8,70,0.48,2,1.58,1
144,62,77,0.48,2,1.44,1
145,41,53,0.48,2,1.42,1
146,21,80,0.48,1,1.09,1
147,12,28,0.5,3,1.11,1
148,25,34,0.5,2,1.43,1
149,23,69,0.5,2,1.13,1
150,28,51,0.5,2,1.57,1
