algorithm_name,input_size,average_execution_time_ns,average_memory_kb,trial_count
BFS,50,825933.3333333334,0.0,3
BFS,100,166500.0,0.0,3
BFS,200,452966.6666666667,0.0,3
BFS,500,1112466.6666666667,0.0,3
BST Insert,100,1347133.3333333333,0.0,3
BST Insert,500,1244000.0,0.0,3
BST Insert,1000,3007466.6666666665,0.0,3
BST Insert,5000,8.700373333333333E7,341.3385416666667,3
BST Insert,10000,3.627992333333333E8,682.6666666666666,3
BST Search,100,332766.6666666667,0.0,3
BST Search,500,2100366.6666666665,0.0,3
BST Search,1000,4268833.333333333,0.0,3
BST Search,5000,1.2826726666666667E8,341.3385416666667,3
BST Search,10000,5.288394333333333E8,682.6666666666666,3
Binary Search,100,49633.333333333336,0.0,3
Binary Search,500,1766.6666666666667,0.0,3
Binary Search,1000,1833.3333333333333,0.0,3
Binary Search,5000,2766.6666666666665,0.0,3
Binary Search,10000,2833.3333333333335,0.0,3
DFS,50,209866.66666666666,0.0,3
DFS,100,274766.6666666667,0.0,3
DFS,200,395833.3333333333,0.0,3
DFS,500,1045533.3333333334,341.3333333333333,3
Dijkstra,50,1002100.0,0.0,3
Dijkstra,100,383500.0,0.0,3
Dijkstra,200,692200.0,0.0,3
Dijkstra,500,2966500.0,0.0,3
Hash Table Insert,100,1468666.6666666667,0.0,3
Hash Table Insert,500,142666.66666666666,0.0,3
Hash Table Insert,1000,190166.66666666666,0.0,3
Hash Table Insert,5000,794333.3333333334,341.328125,3
Hash Table Insert,10000,1321266.6666666667,1023.9765625,3
Hash Table Insert,20000,1525566.6666666667,2095.3307291666665,3
Hash Table Lookup,100,63100.0,0.0,3
Hash Table Lookup,500,205333.33333333334,341.3385416666667,3
Hash Table Lookup,1000,249833.33333333334,0.0,3
Hash Table Lookup,5000,1106233.3333333333,1024.0078125,3
Hash Table Lookup,10000,1694533.3333333333,1024.0234375,3
Hash Table Lookup,20000,2264700.0,2341.9947916666665,3
Insertion Sort,100,134166.66666666666,0.0,3
Insertion Sort,500,1278300.0,0.0,3
Insertion Sort,1000,6637266.666666667,0.0,3
Insertion Sort,5000,1.90163E7,340.9947916666667,3
Insertion Sort,10000,5.9420466666666664E7,0.0,3
Kruskal MST,50,1946900.0,0.0,3
Kruskal MST,100,2519800.0,0.013020833333333334,3
Kruskal MST,200,1668900.0,0.0,3
Kruskal MST,500,2434000.0,47.421875,3
Linear Search,100,13500.0,0.0,3
Linear Search,500,17200.0,0.0,3
Linear Search,1000,28966.666666666668,0.0,3
Linear Search,5000,144166.66666666666,0.0,3
Linear Search,10000,270733.3333333333,0.0,3
Merge Sort,100,62966.666666666664,0.0,3
Merge Sort,500,92966.66666666667,0.0,3
Merge Sort,1000,608733.3333333334,0.0,3
Merge Sort,5000,1821966.6666666667,0.0,3
Merge Sort,10000,764233.3333333334,0.0,3
Min Heap Extract,100,184833.33333333334,0.0,3
Min Heap Extract,500,429300.0,0.0,3
Min Heap Extract,1000,544600.0,0.0,3
Min Heap Extract,5000,2210000.0,0.0,3
Min Heap Extract,10000,2300966.6666666665,314.65625,3
Min Heap Extract,20000,4052000.0,85.34375,3
Min Heap Insert,100,919266.6666666666,0.0,3
Min Heap Insert,500,126233.33333333333,0.0,3
Min Heap Insert,1000,289666.6666666667,0.0,3
Min Heap Insert,5000,877966.6666666666,346.671875,3
Min Heap Insert,10000,1027133.3333333334,21.338541666666668,3
Min Heap Insert,20000,1671666.6666666667,1024.0,3
Prim MST,50,2157066.6666666665,341.328125,3
Prim MST,100,561433.3333333334,0.0,3
Prim MST,200,824633.3333333334,393.421875,3
Prim MST,500,1931500.0,976.578125,3
Quick Sort,100,59000.0,0.0,3
Quick Sort,500,139666.66666666666,0.0,3
Quick Sort,1000,652233.3333333334,0.0,3
Quick Sort,5000,594366.6666666666,0.0,3
Quick Sort,10000,2047000.0,0.0,3
Red Black Tree Insert,100,763900.0,255.98958333333334,3
Red Black Tree Insert,500,168833.33333333334,0.0,3
Red Black Tree Insert,1000,143500.0,341.3385416666667,3
Red Black Tree Insert,5000,793766.6666666666,341.328125,3
Red Black Tree Insert,10000,1826800.0,682.671875,3
Red Black Tree Search,100,98366.66666666667,0.0,3
Red Black Tree Search,500,278466.6666666667,0.0,3
Red Black Tree Search,1000,241400.0,0.0,3
Red Black Tree Search,5000,1622566.6666666667,341.328125,3
Red Black Tree Search,10000,2772833.3333333335,682.6614583333334,3
Selection Sort,100,375166.6666666667,0.0,3
Selection Sort,500,1387333.3333333333,0.0,3
Selection Sort,1000,1.1574833333333334E7,0.0,3
Selection Sort,5000,1.91081E7,0.0,3
Selection Sort,10000,6.96456E7,0.0,3
