run_id,algorithm_name,input_size,execution_time_ns,memory_kb,trial_number,date_run
3,Linear Search,100,32300,0.0,1,2026-08-19T09:16:47.095651700
4,Binary Search,100,145800,0.0,1,2026-08-19T09:16:47.095651700
5,Linear Search,100,4600,0.0,2,2026-08-19T09:16:47.095651700
6,Binary Search,100,1700,0.0,2,2026-08-19T09:16:47.095651700
7,Linear Search,100,3600,0.0,3,2026-08-19T09:16:47.095651700
8,Binary Search,100,1400,0.0,3,2026-08-19T09:16:47.095651700
9,Linear Search,500,21500,0.0,1,2026-08-19T09:16:47.095651700
10,Binary Search,500,2000,0.0,1,2026-08-19T09:16:47.095651700
11,Linear Search,500,15900,0.0,2,2026-08-19T09:16:47.095651700
12,Binary Search,500,1700,0.0,2,2026-08-19T09:16:47.095651700
13,Linear Search,500,14200,0.0,3,2026-08-19T09:16:47.095651700
14,Binary Search,500,1600,0.0,3,2026-08-19T09:16:47.095651700
15,Linear Search,1000,28900,0.0,1,2026-08-19T09:16:47.095651700
16,Binary Search,1000,2000,0.0,1,2026-08-19T09:16:47.095651700
17,Linear Search,1000,28900,0.0,2,2026-08-19T09:16:47.095651700
18,Binary Search,1000,1800,0.0,2,2026-08-19T09:16:47.095651700
19,Linear Search,1000,29100,0.0,3,2026-08-19T09:16:47.095651700
20,Binary Search,1000,1700,0.0,3,2026-08-19T09:16:47.095651700
21,Linear Search,5000,147400,0.0,1,2026-08-19T09:16:47.095651700
22,Binary Search,5000,2700,0.0,1,2026-08-19T09:16:47.095651700
23,Linear Search,5000,142500,0.0,2,2026-08-19T09:16:47.095651700
24,Binary Search,5000,3400,0.0,2,2026-08-19T09:16:47.095651700
25,Linear Search,5000,142600,0.0,3,2026-08-19T09:16:47.095651700
26,Binary Search,5000,2200,0.0,3,2026-08-19T09:16:47.095651700
27,Linear Search,10000,283900,0.0,1,2026-08-19T09:16:47.095651700
28,Binary Search,10000,3500,0.0,1,2026-08-19T09:16:47.095651700
29,Linear Search,10000,264700,0.0,2,2026-08-19T09:16:47.095651700
