location_id,name,area,type,latitude,longitude
1,12 units block,Madina,Landmark,5.6648245,-0.1744431
2,14 CITY,Madina,Landmark,5.6654821,-0.1725083
3,18,University of Ghana,Transport Stop,5.6409982,-0.1953423
4,1st African Page,Legon Area,Landmark,5.6445831,-0.2102003
5,1st curve,Legon Area,Transport Stop,5.6426671,-0.2099649
6,2 Guys Supermarket,Legon Area,Market,5.6280145,-0.1717444
7,2B Centre of Knowledge,Haatso,Landmark,5.6738900,-0.1907550
8,2MG MUSIC,East Legon,Landmark,5.6453569,-0.1516516
9,2nd curve,Legon Area,Transport Stop,5.6419199,-0.2109272
10,335 Place,Legon Area,Landmark,5.6208601,-0.1849839
11,4-4-2 Local Food Kitchen,Legon Area,Restaurant Area,5.6243275,-0.1884741
12,5th Spice Home Fragrance,East Legon,Landmark,5.6458630,-0.1465053
13,A & C Mall,East Legon,Transport Stop,5.6416866,-0.1523901
14,A&C Corner,Legon Area,Landmark,5.6322248,-0.1531961
15,A&C Mall,East Legon,Transport Stop,5.6420800,-0.1516424
16,A-M Surveys Ltd,Haatso,Landmark,5.6686244,-0.1985830
17,Aben Dada,Legon Area,Restaurant,5.6733022,-0.1892859
18,Abrefis Kitchen,Legon Area,Restaurant Area,5.6706862,-0.1890753
19,Absa,Legon Area,Service,5.6218713,-0.1829216
20,Absa ATM,Legon Area,Service,5.6222561,-0.1732067
21,Acacia Medical Centre,Legon Area,Landmark,5.6336142,-0.1575854
22,Academic Registry Public Relation Department,University of Ghana,Landmark,5.6359172,-0.1998877
23,Accential,University of Ghana,Landmark,5.6415574,-0.1779811
24,Access Bank,East Legon,Service,5.6600709,-0.1652768
25,Accountancy House,East Legon,Landmark,5.6431314,-0.1705259
26,Accra CoE Admin Building,East Legon,Landmark,5.6586632,-0.1620416
27,Accra College of Education,East Legon,Academic,5.6567663,-0.1605975
28,Accra End of the Motorway,Legon Area,Transport Stop,5.6273242,-0.1760116
29,Accra Mall,Legon Area,Transport Stop,5.6227677,-0.1740477
30,Accra Mall Bus Terminal,Legon Area,Transport Stop,5.6201308,-0.1730869
31,Accra Mall Food Court,Legon Area,Restaurant Area,5.6222786,-0.1733901
32,Accra Mall Roundabout,Legon Area,Transport Stop,5.6220398,-0.1747326
33,Accra Stem Academy,Legon Area,Academic,5.6292305,-0.1635689
34,Accra Zoo,Legon Area,Landmark,5.6254025,-0.2025748
35,Achimota School,Legon Area,Academic,5.6276899,-0.2123239
36,Action,Legon Area,Transport Stop,5.6244335,-0.1629981
37,Action Chapel,Legon Area,Transport Stop,5.6263623,-0.1657708
38,Action Chapel International,Legon Area,Landmark,5.6255811,-0.1646766
39,Adassa Royal Hotels,East Legon,Landmark,5.6477202,-0.1559286
40,ADB,University of Ghana,Service,5.6288818,-0.1772427
41,Addis Ababa Courts,University of Ghana,Hostel,5.6564107,-0.1822221
42,Adenta new town,East Legon,Landmark,5.6424675,-0.1683005
43,Adjiringanor Curve,East Legon,Transport Stop,5.6456544,-0.1487278
44,Administration and Porters' Lodge,University of Ghana,Landmark,5.6462302,-0.1870558
45,Administration Block,East Legon,Landmark,5.6407970,-0.1613347
46,Adminstration Block,Madina,Landmark,5.6625452,-0.1761554
47,Admiral’s Pizza and Ice Cream,Haatso,Restaurant Area,5.6635702,-0.2048505
48,Aduanipa Check-check East Legon,East Legon,Restaurant Area,5.6456170,-0.1561588
49,Afex Test Prep,East Legon,Academic,5.6499207,-0.1507518
50,African Regent Hotel,Legon Area,Landmark,5.6193762,-0.1767429
51,African Studies Dept,University of Ghana,Landmark,5.6511184,-0.1819005
52,Africana Guest House,Legon Area,Landmark,5.6677633,-0.1809526
53,Africolor,Legon Area,Landmark,5.6298381,-0.1463497
54,Afro Locks Salon,Haatso,Landmark,5.6745921,-0.1911550
55,Afua Manu,East Legon,Landmark,5.6405972,-0.1583112
56,Agape House New Testament Church,East Legon,Landmark,5.6425940,-0.1574688
57,Agape villa,East Legon,Hostel,5.6465924,-0.1683734
58,Agape villa hostel,East Legon,Hostel,5.6491480,-0.1610535
59,Agbo Spot,Madina,Market,5.6699316,-0.1797396
60,Agbogba Junction,Legon Area,Transport Stop,5.6672969,-0.1872900
61,Aggrey Chapel,Legon Area,Landmark,5.6270174,-0.2129017
62,Aggrey House,Legon Area,Residential Area,5.6285397,-0.2138739
63,Agric Science Extension,University of Ghana,Landmark,5.6497021,-0.1842235
64,Agrimat,Madina,Landmark,5.6713772,-0.1759435
65,AH Hotel,East Legon,Landmark,5.6522206,-0.1504949
66,ahuof3 street,Haatso,Landmark,5.6609475,-0.2049305
67,AI CENTRE,Madina,Landmark,5.6650943,-0.1757016
68,Aidec Supplies Ltd,Madina,Market,5.6702471,-0.1513074
69,Airport Junction,Legon Area,Transport Stop,5.6219506,-0.1794792
70,Airport Side Hotel,Legon Area,Landmark,5.6215410,-0.1477144
71,Airways Junction,Legon Area,Transport Stop,5.6381796,-0.2108582
72,Ajepomaa Design Gallery,East Legon,Landmark,5.6352332,-0.1590682
73,Akcess Dental,Legon Area,Landmark,5.6698243,-0.1826317
74,Ako-Adjei House,Madina,Academic,5.6645884,-0.1718670
75,Akonfem,Haatso,Transport Stop,5.6675537,-0.2125463
76,Akpabe Pharmacy Limited,Haatso,Health,5.6703643,-0.2054169
77,Akro House,Madina,Academic,5.6632271,-0.1720744
78,Akro House Common Room,Madina,Academic,5.6632334,-0.1724094
79,Akuafo Hall Annex,University of Ghana,Hostel,5.6474452,-0.1855815
80,Akuafo Hall Annex A,University of Ghana,Hostel,5.6479653,-0.1856917
81,Akuafo Hall Annex B,University of Ghana,Hostel,5.6469517,-0.1856692
82,Akuafo Hall Annex C,University of Ghana,Hostel,5.6474276,-0.1852158
83,Akuafo Hall Annex D,University of Ghana,Landmark,5.6473843,-0.1859247
84,Akuafo Hall Main,University of Ghana,Hostel,5.6493572,-0.1860875
85,Al-Rayan International School,Legon Area,Academic,5.6295516,-0.1600502
86,Albany Specialist Clinic,Legon Area,Health,5.6701424,-0.1838431
87,Alexander Kwapong Hall,University of Ghana,Hostel,5.6368753,-0.1857340
88,Alhaji Mohammed Apartment,Legon Area,Landmark,5.6696972,-0.1833789
89,All Needs Supermarket,University of Ghana,Market,5.6428216,-0.1861225
90,Allied,East Legon,Landmark,5.6558941,-0.1689331
91,Allied fuel station,Legon Area,Transport Stop,5.6592385,-0.2066365
92,Aloette Medical Skin Care Center,East Legon,Landmark,5.6446555,-0.1605068
93,Altectic Oval Basket ball court,University of Ghana,Landmark,5.6479098,-0.1863247
94,Alto Tower,Legon Area,Landmark,5.6204001,-0.1775561
95,Alumni Centre,East Legon,Landmark,5.6605460,-0.1721094
96,Amazing Green Services,University of Ghana,Landmark,5.6319879,-0.1771576
97,American Groceries,East Legon,Market,5.6431545,-0.1589137
98,American House,East Legon,Transport Stop,5.6458175,-0.1480947
99,American House Trotro Station,East Legon,Landmark,5.6486894,-0.1508277
100,American International School,Legon Area,Academic,5.6337341,-0.1496705
101,American Premium,East Legon,Market,5.6454920,-0.1486381
102,Amigo's Mart,Haatso,Market,5.6741403,-0.2036271
103,Amphitheatre Grounds,University of Ghana,Landmark,5.6506396,-0.1937105
104,Ampomah Hotel,East Legon,Landmark,5.6405266,-0.1451311
105,Andos Restaurant,East Legon,Restaurant,5.6464703,-0.1549850
106,Ange Hill Hotel,Legon Area,Landmark,5.6293946,-0.1729637
107,Anglican Church Legon Hall,University of Ghana,Landmark,5.6560176,-0.1904775
108,Anglican Church- Main Church,University of Ghana,Landmark,5.6565127,-0.1903668
109,Annor's All Mart,Legon Area,Landmark,5.6689043,-0.1882569
110,Aqua Tower,Legon Area,Landmark,5.6208230,-0.1781913
111,Archeology Lecturers Offices,University of Ghana,Landmark,5.6528384,-0.1811477
